D1,D2,D3,D4,D5,D6,SQ1,SQ2,SQ3,SQ3_6_TEXT,SQ4_1,SQ4-E,SQ5,SQ6_1,SQ6-E,SQ7,SQ7_2_TEXT,SQ7_3_TEXT,SQ8_1,SQ8-E,SQ9_1,SQ9-E,SQ10_1,SQ10-E,SQ11_1,SQ11-E,SQ12_1,SQ12-E,SQ13_1,SQ13-E
How many years of professional experience do you have in software development?,How many years of experience do you have in developing serverless applications?,What is your current occupation?,What is the highest level of education you have completed?,What was your major?,What is your latest role in software development?,Have you experienced inefficient cold-start issues in Serverless applications?,How does cold-start latency affect your serverless application's performance and user experience?,"Based on your experience, what type of cold-start inefficiency do you encounter most? - Selected Choice","Based on your experience, what type of cold-start inefficiency do you encounter most? - Other (please specify) - Text",How useful do you find InitScope in identifying inefficient library initialization in Serverless applications? - 1,Why did you choose the above rating? Please explain concisely in one sentence.,"Have you used other tools for similar purposes? If so, how does InitScope compare?",How do you rate InitScope's integration into the CI/CD pipeline? i.e. will it comes handy for developers? - 1,Why did you choose the above rating? Please explain concisely in one sentence.,Do you think InitScope would perform effectively for larger serverless applications? Why or why not? - Selected Choice,"Do you think InitScope would perform effectively for larger serverless applications? Why or why not? - Yes, I do - Text",Do you think InitScope would perform effectively for larger serverless applications? Why or why not? - No - Text,How helpful are the various types of views offered by the InitScope visualizer? - 1,Why did you choose the above rating? Please explain concisely in one sentence.,How helpful do you find the calling context information provided by InitScope in optimizing inefficient library usage? - 1,Why did you choose the above rating? Please explain concisely in one sentence.,How effective is InitScope visualizer in highlighting libraries ranked based on their overhead and utilization? - 1,Why did you choose the above rating? Please explain concisely in one sentence.,How would you assess the overhead introduced by InitScope in its default setting (approximately 10% on average)? - 1,Why did you choose the above rating? Please explain concisely in one sentence.,"Overall, how satisfied you are with InitScope's contribution in optimizing cold-start latency in Serverless applications? - 1",Why did you choose the above rating? Please explain concisely in one sentence.,Will you consider using InitScope while developing Serverless applications if you get the tool for free without any conditions? - 1,Why did you choose the above rating? Please explain concisely in one sentence.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-5 years,1-3 years,Software developer focusing on kolla-ansible,Bachelors,Mechanical Engineering,Junior software developer,,,,,,,,,,,,,,,,,,,,,,,,
5-10 years,1-3 years,Software developer,Bachelors,Computing and Infomatics,Software engineer,,,,,,,,,,,,,,,,,,,,,,,,
>10 years,1-3 years,Senior Backend Engineer,Masters,BA Computer Engineering & Master in Software Engineering,Senior Backend Engineer at Contentsquare ,,,,,,,,,,,,,,,,,,,,,,,,
3-5 years,1-3 years,PhD Student,Bachelors,Software Engineering,Mobile Software Engineer,"Yes, I have experienced cold-start issues",Minimal Impact,"Importing unused libraries,Default import of rarely used libraries - i.e. library is loaded but rarely used at runtime",,Useful,Developers can easily find out optimization related bugs.,No,Useful,Can analyze code changes automatically for potential inefficiencies reducing the manual efforts.,"Yes, I do",Its ability to trace individual function calls aids in debugging complex workflows,,Useful,"Provide developers with detailed insights into module efficiency, usage patterns, and import times that have led to significant improvements.",Useful,Gives developers a priority list of libraries for optimization.,Neural,Not familiar with the visualizer.,Very useful,"During development and testing phases, a 10% overhead is generally negligible and well worth the insights gained.",Very useful,"dynamic profiling, providing more accurate and actionable insights than static analyzer.",Very useful,"The inefficiency related problems can be easily parsed and visualized, facilitating analysis and decision-making."
5-10 years,1-3 years,PhD Student,Masters,Computer and Information Science,Software Developer,"Yes, I have experienced cold-start issues",Significant Impact,"Importing unused libraries,Default import of rarely used libraries - i.e. library is loaded but rarely used at runtime,Avoidable library usage - i.e. use libraries with high overhead which doesn't contribute to the core functionality",,Very useful,InitScope can identify the libraries that takes long time for initialization but not used at runtime,"No, I have not used other tools before",Very useful,"The integration only requires the developer to write a Makefile, which is commonly known by developers without any other specific efforts","Yes, I do",Larger serverless applications usually involve more libraries and the benefits of InitScope would be more obvious,,Useful,"The visualizer can display farily enough frequently recognized types of views such as CCT, module tree and dynamic import",Very useful,The calling context information can be used to identify the hot spot of a serverless application,Useful,The ranking can help developers to know better about the performance bottleneck of applications,Useful,10% of average overhead would okay for most applications but might be a issue for latency-sensitive applicaitons,Very useful,InitScope can automatically identify and categorize the problematic libraries so that help developers to fix them in a more cost-effecitvely way,Very useful,"The tools works well itself and is also free, which motivate more developers to try it."
>10 years,3-5 years,Software Engineer,Masters,Computer Science,"General Manager, Technical","Yes, I have experienced cold-start issues",Moderate Impact,"Importing unused libraries,Default import of rarely used libraries - i.e. library is loaded but rarely used at runtime,Avoidable library usage - i.e. use libraries with high overhead which doesn't contribute to the core functionality,Other (please specify)",Importing libraries used for debugging but  not used at runtime,Very useful,"It helps identify several type of inefficiencies, helps removing, upgrading or replacing libraries that reduce cold start time",No. But InitScope seems promising,Very useful,"Identifying serverless application's latency due to cold-start at early stage helps ensuring end-user satisfaction, and minimizes cost due to  CPU consumption","Yes, I do",I didn't see any issue integrating InitScope with comparatively larger  project. The only thing needs to be taken care is that some runtime behavior is hard to detect and may produce false positive result.,,Useful,"The views are helpful as they pinpoint areas where libraries are used inefficiently, providing insightful information such as the import source, line number, frequency of impact on the cold-start process, and whether the library was actually used. However, adding a visualization alongside the tabular data could provide additional value.",Useful,It helps the call stack similar to Java's Call Stack and helps tracing calls and usages.,Very useful,it clearly tells what percentage of cold-start time a particular library contributed to and whether it was used at all,Useful,The 10% overhead is acceptable given the valuable insights InitScope provides into cold-start issues and library usage.,Useful,"It helps greatly. As it is in its early stage, there are couple of improvement opportunities in the future",Very useful,"Obviously, I'll use InitScope to remove inefficiencies from my serverless application and boost end-user's satisfaction"
1-3 years,1-3 years,Adjunct Lecturer,Bachelors,CSE,Software Engineer,"Yes, I have experienced cold-start issues",Moderate Impact,"Importing unused libraries,Default import of rarely used libraries - i.e. library is loaded but rarely used at runtime,Avoidable library usage - i.e. use libraries with high overhead which doesn't contribute to the core functionality",,Useful,Found almost 80% inefficiency,"No, I have not",Useful,Integration in CI/CD pipeline will always come handy,No,,Have to do more experiments.,Neural,Various types of views were not well understandable,Neural,The result was not always correct,Very useful,The ordering is very helpful,Neural,It may vary application to application,Neural,A mixture of positive and negative,Very useful,Experimenting with these types of tools may help to get new results
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
